,backtest-stability-avg,backtest-stability-std,p-value,iteration,backtest-max-loss-days,backtest-max-profit-days,backtest-sortino-ratio,backtest-probabilistic-sharpe-ratio,backtest-skew,backtest-kurtosis,backtest-calmar-ratio,backtest-avg-profit,backtest-avg-loss,backtest-profit-days-pct,backtest-profit-factor,backtest-sharpe-ratio,backtest-avg-return,backtest-max-dd-pct,backtest-recovery-factor,backtest-total-pl,backtest-post-p-value,backtest-trades,backtest-no-retrun-max-loss-days,backtest-no-retrun-max-profit-days,backtest-no-retrun-sortino-ratio,backtest-no-retrun-probabilistic-sharpe-ratio,backtest-no-retrun-skew,backtest-no-retrun-kurtosis,backtest-no-retrun-calmar-ratio,backtest-no-retrun-avg-profit,backtest-no-retrun-avg-loss,backtest-no-retrun-profit-days-pct,backtest-no-retrun-profit-factor,backtest-no-retrun-sharpe-ratio,backtest-no-retrun-avg-return,backtest-no-retrun-max-dd-pct,backtest-no-retrun-recovery-factor,backtest-no-retrun-total-pl,backtest-no-retrun-post-p-value,backtest-no-retrun-trades,forward-max-loss-days,forward-max-profit-days,forward-sortino-ratio,forward-probabilistic-sharpe-ratio,forward-skew,forward-kurtosis,forward-calmar-ratio,forward-avg-profit,forward-avg-loss,forward-profit-days-pct,forward-profit-factor,forward-sharpe-ratio,forward-avg-return,forward-max-dd-pct,forward-recovery-factor,forward-total-pl,forward-post-p-value,forward-trades,forward-no-retrun-max-loss-days,forward-no-retrun-max-profit-days,forward-no-retrun-sortino-ratio,forward-no-retrun-probabilistic-sharpe-ratio,forward-no-retrun-skew,forward-no-retrun-kurtosis,forward-no-retrun-calmar-ratio,forward-no-retrun-avg-profit,forward-no-retrun-avg-loss,forward-no-retrun-profit-days-pct,forward-no-retrun-profit-factor,forward-no-retrun-sharpe-ratio,forward-no-retrun-avg-return,forward-no-retrun-max-dd-pct,forward-no-retrun-recovery-factor,forward-no-retrun-total-pl,forward-no-retrun-post-p-value,forward-no-retrun-trades,backtest-information-ratio,complexity,class,target
count,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0,32670.0
mean,1.316108665842525,0.06542049236192501,0.018779850311708923,19.210345883073156,7.938322620140802,13.388552188552188,105.96537978265917,0.9702381075039626,0.14198321809598025,4.588881666494467,3.0909253056569272,0.012101079917378384,-0.012458070819564428,0.5931014020242407,1.590722064029875,1.4710044665936708,0.0024172492121186206,0.14588846282790358,3.0960590180977827,0.34989898989898993,0.02932501172611951,341.49155188246095,7.938322620140802,13.388552188552188,90.05912176807655,0.9395521168106353,-0.4321097278523169,2.372482399224508,2.234702326699254,0.011159680206315149,-0.012458070819564428,0.5931014020242407,1.4464267311207393,1.2440880731377966,0.0019110029979813319,0.14970394233428058,2.2384182440736953,0.2761940618304255,0.05628487462300117,341.49155188246095,6.800459136822774,6.52053872053872,-8.935214775747738,0.38959200594018495,-0.2888592685561183,1.7271566023604352,0.8409686674532986,0.011330937780160222,-0.013794163472786095,0.499653218505965,0.9758570277090468,-0.6377660316040399,-0.0010149412513128513,0.14012138135825788,0.08779446382473272,-0.040885521885521886,0.606046693279149,92.52577288031833,6.800459136822774,6.52053872053872,-24.12721094060672,0.259481591328974,-0.6364218200166663,1.860274991674005,0.7878492726693448,0.008591581726536955,-0.013794163472786095,0.499653218505965,0.7592098022987791,-1.5497715133500198,-0.002169990822780151,0.15374624496131079,-0.30765608257869287,-0.0826593204775023,0.7306473878599795,92.52577288031833,-2.2794684888352736,8.895531068258341,20.07483930211203,0.43235384144475053
std,0.19820675293273857,0.06980858151481419,0.010839313119019658,13.264702217862718,5.507984737362401,9.264741319083141,91.74053159113544,0.06538263649138532,1.5484099999092276,9.50285217913527,1.6432308800051463,0.008578105400253087,0.01056508541850564,0.12194404773941676,0.25399535332444734,0.36276859619878127,0.0016947987006913276,0.11505761887439157,1.6579967712118555,0.21291568390530938,0.06457490293096296,228.3818239868798,5.507984737362401,9.264741319083141,87.57015861169432,0.07675267128016754,1.1230893420715284,5.935390007896698,1.0281902923780153,0.008036736764527586,0.01056508541850564,0.12194404773941676,0.16466221869150088,0.3941317151841034,0.0014416780564520553,0.11683848711153855,1.0452012964617856,0.1829045845358486,0.07668710124923275,228.3818239868798,5.628363692680141,4.612445711164927,181.41899737320196,0.3169537737011258,1.3423256286882521,4.962103205142464,1.0579040351062614,0.008374584029546942,0.01084327780516324,0.1562617734934554,0.6759517594997286,2.0589342623206606,0.003576614181145421,0.10900343905434921,1.354889553160789,0.13099590763435062,0.3143913478836394,70.39346913658913,5.628363692680141,4.612445711164927,164.46358859987114,0.2939709958814036,1.3964113364417878,5.322870012876475,0.7319441699503989,0.006437696342008895,0.01084327780516324,0.1562617734934554,0.5926371360605072,2.6604317070906465,0.003807152948867005,0.11641737563882175,1.0313255533180192,0.13186607128436792,0.2921773750842459,70.39346913658913,2.053578648996494,1.4503364081186445,13.256537048695721,0.4954104456666432
min,-0.7856234438461538,0.000320623220445,0.010000000265523,0.0,0.0,0.0,-901.1319697079676,7.772900225767278e-14,-8.15413970410669,-1.9895531199624985,0.0194789938306592,0.0007587647368421,-0.121388045,0.0714285714285714,0.1676719387903094,-6.584664812462549,-0.01484111625,0.0043266514209902,-0.9999861736,-1.79,0.0,6.0,0.0,0.0,-927.049366218042,4.9041852203754006e-15,-8.938461372268204,-1.9873530195216145,0.003192611058929,0.0,-0.121388045,0.0714285714285714,0.0,-6.986028851719731,-0.0152027896153846,0.0043272202914873,-1.0,-1.83,0.0,6.0,0.0,0.0,-1059.0140063885462,1.2835323545678249e-42,-7.40884828287923,-1.9979157645860208,6.537651265371136e-05,0.000327954,-0.172591125,0.0133333333333333,0.014375812037145,-25.61270950381825,-0.0610774594117647,0.0040106028423146,-0.9999999978,-1.59,0.0,11.0,0.0,0.0,-1108.6759210942366,0.0,-9.341160819145236,-1.9739277333514975,9.872850533136738e-06,0.0,-0.172591125,0.0133333333333333,0.0,-77.26080080198426,-0.0758494936363636,0.0040109522172445,-1.0,-1.67,0.0,11.0,-9.995568538289152,4.0,0.0,0.0
25%,1.1914835815,0.0255571229709554,0.010623233312954849,7.0,5.0,7.0,41.455015615776475,0.9668013349409033,-0.8226648627427502,-1.4256517357371985,1.8653011996507154,0.006346950410425675,-0.016270625363690075,0.5177664974619289,1.4335523509651944,1.3179013817866896,0.00137334186318425,0.0708077793224132,1.8723026784853976,0.22,0.0106492670056934,230.0,5.0,7.0,27.345741021568685,0.9260809283000748,-1.0439961337811763,-1.425892743073468,1.4889543226416897,0.0058069998325614505,-0.016270625363690075,0.5177664974619289,1.347505660205131,1.0598633793140848,0.001030142794531,0.07379603342739202,1.496266329043648,0.17,0.020832130754560398,230.0,4.0,4.0,-26.47481242695606,0.09359896889890143,-0.9772864795043735,-1.5710907600658608,0.3548154893745248,0.005874095099304825,-0.017358890178571375,0.4,0.5963411127812844,-1.7888861871808153,-0.002463501319726125,0.06436449394879676,-0.7126817502220886,-0.1,0.348653314792931,59.0,4.0,4.0,-40.865838851819504,0.017191046396123975,-1.3979852854522998,-1.4849427320092143,0.4715901088270739,0.0040964390848214245,-0.017358890178571375,0.4,0.4279127966625831,-2.6600141278902316,-0.0035529497222222,0.07258603165658585,-0.885405823759571,-0.14,0.5704685883485348,59.0,-3.7069379578894703,8.0,11.0,0.0
50%,1.2769641135555556,0.044107066775025,0.0133804266853838,18.0,6.0,10.0,72.50464585807615,0.9819048905956617,-0.18524651097064798,1.1114276370450185,2.7765991169648725,0.00996405237728935,-0.0095463458597285,0.5962732919254659,1.5521282392019522,1.4936241579922287,0.00205959212921455,0.11651891628784411,2.786114967592777,0.31,0.0177727371741952,282.0,6.0,10.0,53.91308412223965,0.9571271358960267,-0.42519051588508966,0.5734021040218802,2.0785992019433177,0.0094849423193162,-0.0095463458597285,0.5962732919254659,1.439007886799983,1.2643386671971166,0.00161688864655345,0.1198235271185617,2.0881898018713647,0.24,0.0376017901172504,282.0,5.0,5.0,-4.773964686884675,0.3287688933764834,-0.18507175142536392,0.0951319564085786,0.6548640750302837,0.0095577099476744,-0.01132935527511955,0.5,0.8380046610343312,-0.6261922823399392,-0.00071156186128175,0.11038430285025345,-0.3359082907500357,-0.03,0.6687062038830955,76.0,5.0,5.0,-10.35923086336706,0.1316391698722561,-0.44364288299178667,0.0034006400664561,0.7636142836520201,0.0071872124007936,-0.01132935527511955,0.5,0.6479576185489138,-1.4928347364007686,-0.0016079359047619,0.12313302062604381,-0.6451581703479723,-0.07,0.8501052933469213,76.0,-2.9544785420781388,9.0,20.0,0.0
75%,1.3960566483484849,0.08024926068061444,0.024006124876562927,30.0,9.0,16.0,151.20141333853397,0.9910139309887478,0.9038028153417655,6.996181199707262,3.9905832810401933,0.0152718175863363,-0.0055716968438833,0.6727272727272727,1.7153687758917906,1.6373977794363175,0.0030274258283658,0.1867353577057726,4.003221051335814,0.43,0.03175550148234223,370.0,9.0,16.0,136.02720282894194,0.9758416351870283,0.23529208675314314,3.9264826845508374,2.831106134410573,0.014129415376461976,-0.0055716968438833,0.6727272727272727,1.5378054916133428,1.4502575923190193,0.002427858428132425,0.1906089958998669,2.8440362796517045,0.35,0.06798016365372747,370.0,8.0,8.0,6.254336788699307,0.6515095651660795,0.47105958050879454,2.9596133991973494,0.9190972956172097,0.01407969128125,-0.0071328908695651744,0.6027397260273972,1.1699614015415838,0.5598612569596537,0.0006785774954545,0.18486088163619674,0.38964787340366436,0.03,0.892866621842971,102.0,8.0,8.0,-2.314928374342213,0.4289655725550578,0.21799691220843856,2.871876329593154,0.9501800710139461,0.011243656312217175,-0.0071328908695651744,0.6027397260273972,0.9350121262508528,-0.25602370968000837,-0.000239810155014325,0.2020086661926016,-0.13792168029376997,-0.01,0.9676161139635278,102.0,-1.2366387796194718,10.0,32.0,1.0
max,3.5768885836363635,1.617594595603472,0.0499992028990317,44.0,86.0,104.0,958.8382675133536,0.9999999982450476,9.9966306660381,152.48910262579798,19.936205988757592,0.128971739375,-0.0005010408620689,0.9537037037037036,11.018968550139396,7.59911495271509,0.0276825624561403,1.9040404665190247,20.138509724792662,3.16,1.0,5137.0,86.0,104.0,910.9600469200724,0.99999999766545,9.591277430896245,156.19390153791738,13.000044846447494,0.1231183970833333,-0.0005010408620689,0.9537037037037036,4.878736867526685,7.414109361996825,0.0256803430701754,1.941296791754332,13.010278679150607,2.93,1.0,5137.0,95.0,70.0,19338.00187168466,0.9999999990531366,7.481414874892472,65.99030055333792,34.506231879593656,0.12966274,-0.00068459,0.9672131147540984,35.53713392539205,22.66519720395154,0.0289469669230769,1.6559294895214411,34.6265726412609,0.9,1.0,1592.0,95.0,70.0,16639.32250520357,0.9999999669923856,6.317147769821134,90.3278835488243,32.79030410590016,0.0849209733333333,-0.00068459,0.9672131147540984,33.82981490051518,19.71699579852424,0.0213113207692307,1.708612690771206,32.910629501696185,0.61,1.0,1592.0,6.202117920109294,12.0,51.0,1.0
